scenario,date,hour,is_peak,base_demand_orders,demand_orders,active_workers,total_capacity,fulfilled_orders,unfilled_orders,fulfillment_rate,utilization,wait_pressure_index,service_quality_score,avg_worker_earnings,platform_revenue,worker_cost,platform_margin
baseline,2025-02-01,0,FALSE,11048,11048,11397.706833901844,26011.34031986386,11048,0,1,0.42473782066366905,0.42473782066366905,1,21.73846913952283,154672,88384,66288
baseline,2025-02-01,1,FALSE,13847,13847,11397.706833901844,26011.34031986386,13847,0,1,0.532344732325292,0.532344732325292,1,27.245889045526127,193858,110776,83082
baseline,2025-02-01,2,FALSE,17846,17846,11397.706833901844,26011.34031986386,17846,0,1,0.6860853681719622,0.6860853681719622,1,35.11447504199171,249844,142768,107076
baseline,2025-02-01,3,FALSE,23023,23023,11397.706833901844,26011.34031986386,23023,0,1,0.8851139432602871,0.8851139432602871,1,45.30093908392778,322322,184184,138138
baseline,2025-02-01,4,FALSE,28382,28382,11346.08964187702,25877.135620599318,25877.135620599318,2504.864379400682,0.9117446135085377,1,1.096798363471369,0.9032016365286311,51.41375152334816,362279.89868839044,207017.08496479454,155262.8137235959
baseline,2025-02-01,5,FALSE,31754,31754,11397.706833901844,26011.34031986386,26011.34031986386,5742.659680136141,0.8191516130208433,1,1.2207752314766607,0.7792247685233393,51.18091227561426,364158.764478094,208090.72255891087,156068.04191918313
baseline,2025-02-01,6,FALSE,33810,33810,11397.706833901844,26011.34031986386,26011.34031986386,7798.659680136141,0.7693386666626401,1,1.2998176789137084,0.7001823210862916,51.18091227561426,364158.764478094,208090.72255891087,156068.04191918313
baseline,2025-02-01,7,FALSE,35091,35091,11397.706833901844,26011.34031986386,26011.34031986386,9079.659680136141,0.7412538918772295,1,1.3490654294812465,0.6509345705187535,51.18091227561426,364158.764478094,208090.72255891087,156068.04191918313
baseline,2025-02-01,8,FALSE,35745,35745,11397.706833901844,26011.34031986386,26011.34031986386,9733.659680136141,0.7276917140820774,1,1.3742083091620974,0.6257916908379026,51.18091227561426,364158.764478094,208090.72255891087,156068.04191918313
baseline,2025-02-01,9,FALSE,36424,36424,11397.706833901844,26011.34031986386,26011.34031986386,10412.659680136141,0.7141264089573869,1,1.4003123080968032,0.5996876919031968,51.18091227561426,364158.764478094,208090.72255891087,156068.04191918313
baseline,2025-02-01,10,TRUE,38553,38553,11397.706833901844,26011.34031986386,26011.34031986386,12541.659680136141,0.6746904344633066,1,1.482161223755108,0.5178387762448919,51.18091227561426,364158.764478094,208090.72255891087,156068.04191918313
baseline,2025-02-01,11,TRUE,40595,40595,11397.706833901844,26011.34031986386,26011.34031986386,14583.659680136141,0.6407523172770996,1,1.560665444409997,0.439334555590003,51.18091227561426,364158.764478094,208090.72255891087,156068.04191918313
baseline,2025-02-01,12,TRUE,45311,45311,11397.706833901844,26011.34031986386,26011.34031986386,19299.65968013614,0.5740623760204776,1,1.741970980457233,0.258029019542767,51.18091227561426,364158.764478094,208090.72255891087,156068.04191918313
baseline,2025-02-01,13,TRUE,50689,50689,11397.706833901844,26011.34031986386,26011.34031986386,24677.65968013614,0.5131555232863907,1,1.9487269543465533,0.0512730456534467,51.18091227561426,364158.764478094,208090.72255891087,156068.04191918313
baseline,2025-02-01,14,TRUE,52795,52795,11397.706833901844,26011.34031986386,26011.34031986386,26783.65968013614,0.4926856770501725,1,2.029691640291311,0,51.18091227561426,364158.764478094,208090.72255891087,156068.04191918313
baseline,2025-02-01,15,TRUE,49816,49816,11397.706833901844,26011.34031986386,26011.34031986386,23804.65968013614,0.5221483121861221,1,1.9151646700019314,0.08483532999806864,51.18091227561426,364158.764478094,208090.72255891087,156068.04191918313
baseline,2025-02-01,16,TRUE,47757,47757,11397.706833901844,26011.34031986386,26011.34031986386,21745.65968013614,0.5446602659267512,1,1.836006888254421,0.16399311174557907,51.18091227561426,364158.764478094,208090.72255891087,156068.04191918313
baseline,2025-02-01,17,TRUE,49242,49242,11397.706833901844,26011.34031986386,26011.34031986386,23230.65968013614,0.5282348466728374,1,1.893097371933417,0.10690262806658302,51.18091227561426,364158.764478094,208090.72255891087,156068.04191918313
baseline,2025-02-01,18,TRUE,47996,47996,11397.706833901844,26011.34031986386,26011.34031986386,21984.65968013614,0.5419480856709696,1,1.8451951883212763,0.15480481167872373,51.18091227561426,364158.764478094,208090.72255891087,156068.04191918313
baseline,2025-02-01,19,FALSE,33731,33731,11397.706833901844,26011.34031986386,26011.34031986386,7719.659680136141,0.7711405033904675,1,1.2967805420715262,0.7032194579284738,51.18091227561426,364158.764478094,208090.72255891087,156068.04191918313
baseline,2025-02-01,20,FALSE,26102,26102,11274.702669752829,25691.529493076418,25691.529493076418,410.47050692358243,0.9842743656837184,1,1.015976880902875,0.9840231190971249,51.7392831275335,359681.41290306987,205532.23594461134,154149.17695845853
baseline,2025-02-01,21,FALSE,19850,19850,11397.706833901844,26011.34031986386,19850,0,1,0.7631286875609912,0.7631286875609912,1,39.05762241306374,277900,158800,119100
baseline,2025-02-01,22,FALSE,15617,15617,11397.706833901844,26011.34031986386,15617,0,1,0.6003919754982368,0.6003919754982368,1,30.728609028958005,218638,124936,93702
baseline,2025-02-01,23,FALSE,13371,13371,11397.706833901844,26011.34031986386,13371,0,1,0.5140450217318898,0.5140450217318898,1,26.309293162976086,187194,106968,80226
