date,hour,day_of_week,is_weekend,demand_orders,is_peak
2025-02-01,0,Saturday,TRUE,11048,FALSE
2025-02-01,1,Saturday,TRUE,13847,FALSE
2025-02-01,2,Saturday,TRUE,17846,FALSE
2025-02-01,3,Saturday,TRUE,23023,FALSE
2025-02-01,4,Saturday,TRUE,28382,FALSE
2025-02-01,5,Saturday,TRUE,31754,FALSE
2025-02-01,6,Saturday,TRUE,33810,FALSE
2025-02-01,7,Saturday,TRUE,35091,FALSE
2025-02-01,8,Saturday,TRUE,35745,FALSE
2025-02-01,9,Saturday,TRUE,36424,FALSE
2025-02-01,10,Saturday,TRUE,38553,TRUE
2025-02-01,11,Saturday,TRUE,40595,TRUE
2025-02-01,12,Saturday,TRUE,45311,TRUE
2025-02-01,13,Saturday,TRUE,50689,TRUE
2025-02-01,14,Saturday,TRUE,52795,TRUE
2025-02-01,15,Saturday,TRUE,49816,TRUE
2025-02-01,16,Saturday,TRUE,47757,TRUE
2025-02-01,17,Saturday,TRUE,49242,TRUE
2025-02-01,18,Saturday,TRUE,47996,TRUE
2025-02-01,19,Friday,FALSE,33731,FALSE
2025-02-01,20,Friday,FALSE,26102,FALSE
2025-02-01,21,Friday,FALSE,19850,FALSE
2025-02-01,22,Friday,FALSE,15617,FALSE
2025-02-01,23,Friday,FALSE,13371,FALSE
2025-02-02,0,Sunday,TRUE,11367,FALSE
2025-02-02,1,Sunday,TRUE,13635,FALSE
2025-02-02,2,Sunday,TRUE,17394,FALSE
2025-02-02,3,Sunday,TRUE,20051,FALSE
2025-02-02,4,Sunday,TRUE,26007,FALSE
2025-02-02,5,Sunday,TRUE,31639,FALSE
2025-02-02,6,Sunday,TRUE,33431,FALSE
2025-02-02,7,Sunday,TRUE,34312,FALSE
2025-02-02,8,Sunday,TRUE,35516,FALSE
2025-02-02,9,Sunday,TRUE,36555,FALSE
2025-02-02,10,Sunday,TRUE,37134,TRUE
2025-02-02,11,Sunday,TRUE,36989,TRUE
2025-02-02,12,Sunday,TRUE,37499,TRUE
2025-02-02,13,Sunday,TRUE,38123,TRUE
2025-02-02,14,Sunday,TRUE,36095,FALSE
2025-02-02,15,Sunday,TRUE,32288,FALSE
2025-02-02,16,Sunday,TRUE,30049,FALSE
2025-02-02,17,Sunday,TRUE,27270,FALSE
2025-02-02,18,Sunday,TRUE,22622,FALSE
2025-02-02,19,Saturday,TRUE,42186,TRUE
2025-02-02,20,Saturday,TRUE,33131,FALSE
2025-02-02,21,Saturday,TRUE,25112,FALSE
2025-02-02,22,Saturday,TRUE,19263,FALSE
2025-02-02,23,Saturday,TRUE,14945,FALSE
2025-02-03,0,Monday,FALSE,11995,FALSE
2025-02-03,1,Monday,FALSE,21846,FALSE
2025-02-03,2,Monday,FALSE,33983,FALSE
2025-02-03,3,Monday,FALSE,42225,TRUE
2025-02-03,4,Monday,FALSE,34475,FALSE
2025-02-03,5,Monday,FALSE,27700,FALSE
2025-02-03,6,Monday,FALSE,25162,FALSE
2025-02-03,7,Monday,FALSE,24529,FALSE
2025-02-03,8,Monday,FALSE,26070,FALSE
2025-02-03,9,Monday,FALSE,28957,FALSE
2025-02-03,10,Monday,FALSE,29348,FALSE
2025-02-03,11,Monday,FALSE,29965,FALSE
2025-02-03,12,Monday,FALSE,33712,FALSE
2025-02-03,13,Monday,FALSE,33984,FALSE
2025-02-03,14,Monday,FALSE,30121,FALSE
2025-02-03,15,Monday,FALSE,27863,FALSE
2025-02-03,16,Monday,FALSE,26245,FALSE
2025-02-03,17,Monday,FALSE,24105,FALSE
2025-02-03,18,Monday,FALSE,19030,FALSE
2025-02-03,19,Sunday,TRUE,16417,FALSE
2025-02-03,20,Sunday,TRUE,7983,FALSE
2025-02-03,21,Sunday,TRUE,5419,FALSE
2025-02-03,22,Sunday,TRUE,4915,FALSE
2025-02-03,23,Sunday,TRUE,7542,FALSE
2025-02-04,0,Tuesday,FALSE,11192,FALSE
2025-02-04,1,Tuesday,FALSE,20878,FALSE
2025-02-04,2,Tuesday,FALSE,34618,FALSE
2025-02-04,3,Tuesday,FALSE,41606,TRUE
2025-02-04,4,Tuesday,FALSE,34487,FALSE
2025-02-04,5,Tuesday,FALSE,28202,FALSE
2025-02-04,6,Tuesday,FALSE,25290,FALSE
2025-02-04,7,Tuesday,FALSE,24948,FALSE
2025-02-04,8,Tuesday,FALSE,26747,FALSE
2025-02-04,9,Tuesday,FALSE,30767,FALSE
2025-02-04,10,Tuesday,FALSE,32309,FALSE
2025-02-04,11,Tuesday,FALSE,33024,FALSE
2025-02-04,12,Tuesday,FALSE,38906,TRUE
2025-02-04,13,Tuesday,FALSE,39612,TRUE
2025-02-04,14,Tuesday,FALSE,36197,FALSE
2025-02-04,15,Tuesday,FALSE,34063,FALSE
2025-02-04,16,Tuesday,FALSE,31800,FALSE
2025-02-04,17,Tuesday,FALSE,28908,FALSE
2025-02-04,18,Tuesday,FALSE,22349,FALSE
2025-02-04,19,Monday,FALSE,12839,FALSE
2025-02-04,20,Monday,FALSE,6841,FALSE
2025-02-04,21,Monday,FALSE,4715,FALSE
2025-02-04,22,Monday,FALSE,4158,FALSE
2025-02-04,23,Monday,FALSE,6519,FALSE
2025-02-05,0,Wednesday,FALSE,11538,FALSE
2025-02-05,1,Wednesday,FALSE,22005,FALSE
2025-02-05,2,Wednesday,FALSE,36569,FALSE
2025-02-05,3,Wednesday,FALSE,44832,TRUE
2025-02-05,4,Wednesday,FALSE,37208,TRUE
2025-02-05,5,Wednesday,FALSE,30111,FALSE
2025-02-05,6,Wednesday,FALSE,27219,FALSE
2025-02-05,7,Wednesday,FALSE,27607,FALSE
2025-02-05,8,Wednesday,FALSE,28441,FALSE
2025-02-05,9,Wednesday,FALSE,32155,FALSE
2025-02-05,10,Wednesday,FALSE,33285,FALSE
2025-02-05,11,Wednesday,FALSE,34884,FALSE
2025-02-05,12,Wednesday,FALSE,40495,TRUE
2025-02-05,13,Wednesday,FALSE,41525,TRUE
2025-02-05,14,Wednesday,FALSE,38209,TRUE
2025-02-05,15,Wednesday,FALSE,35967,FALSE
2025-02-05,16,Wednesday,FALSE,34999,FALSE
2025-02-05,17,Wednesday,FALSE,31314,FALSE
2025-02-05,18,Wednesday,FALSE,25278,FALSE
2025-02-05,19,Tuesday,FALSE,13901,FALSE
2025-02-05,20,Tuesday,FALSE,7620,FALSE
2025-02-05,21,Tuesday,FALSE,5067,FALSE
2025-02-05,22,Tuesday,FALSE,4723,FALSE
2025-02-05,23,Tuesday,FALSE,6935,FALSE
2025-02-06,0,Thursday,FALSE,12624,FALSE
2025-02-06,1,Thursday,FALSE,23618,FALSE
2025-02-06,2,Thursday,FALSE,38499,TRUE
2025-02-06,3,Thursday,FALSE,48133,TRUE
2025-02-06,4,Thursday,FALSE,42258,TRUE
2025-02-06,5,Thursday,FALSE,33923,FALSE
2025-02-06,6,Thursday,FALSE,30759,FALSE
2025-02-06,7,Thursday,FALSE,31958,FALSE
2025-02-06,8,Thursday,FALSE,31896,FALSE
2025-02-06,9,Thursday,FALSE,34596,FALSE
2025-02-06,10,Thursday,FALSE,35197,FALSE
2025-02-06,11,Thursday,FALSE,36555,FALSE
2025-02-06,12,Thursday,FALSE,42363,TRUE
2025-02-06,13,Thursday,FALSE,43986,TRUE
2025-02-06,14,Thursday,FALSE,39997,TRUE
2025-02-06,15,Thursday,FALSE,37456,TRUE
2025-02-06,16,Thursday,FALSE,36405,FALSE
2025-02-06,17,Thursday,FALSE,34562,FALSE
2025-02-06,18,Thursday,FALSE,29199,FALSE
2025-02-06,19,Wednesday,FALSE,16445,FALSE
2025-02-06,20,Wednesday,FALSE,9344,FALSE
2025-02-06,21,Wednesday,FALSE,6052,FALSE
2025-02-06,22,Wednesday,FALSE,5553,FALSE
2025-02-06,23,Wednesday,FALSE,8225,FALSE
2025-02-07,0,Friday,FALSE,12705,FALSE
2025-02-07,1,Friday,FALSE,22119,FALSE
